"","neurotransmitter","uniqueID","Author","Year","doi","Include_final","design_true","N_drug","N_placebo","female_pct_drug","female_pct_pla","age_drug_m","age_drug_sd","age_pla_m","age_pla_sd","age_total","female_total","Drug","Dose","drug_interpretation","single_or_multiple_drugAdministrations","acute","taskAdministrationTime_postIntervention","repeatedMean_sessionTimewindow","task","task_name","task_name2","measure","outcome_name","t","F","exact_p","drug_m","drug_sd","drug_sem","placebo_m","placebo_sd","placebo_sem","MeanDiff","SED","d_raw","r_correlation","d.direction.new","Category","secondary_category","AuthorY","design","valence","author_provided_data","Random.sequence.generation","Allocation.concealment","Blinding.of.participants.and.experimenters","Blinding.of.outcome.assessment","Incomplete.outcome.data","drug_category","drug_activity","simplified_drug_target","drug_target","simplified_drug_target2","drug_dose","treat_as"
"1","DA",2,"Abler",2007,"https://doi.org/10.1007/s00213-006-0690-y","Y","w",8,8,0.5,0.5,"31.3","8.8","31.3","8.8","31.3","0.5","olanzapine¬†","5mg","decrease_DA","single","1","5h","22 days","MID","MID","MID","RT (ms) in high reward","RT high reward",2.5,NA,NA,525,70.45,NA,482,51.12,NA,NA,NA,NA,NA,1,"reward vigour_baselinertnonsign","","Abler, 2007","w","r","","?","?","L","L","L","antipsychotic","antagonist","D2 receptor antagonist","D1–D5, 5-HT2,  _1, mAch, H1 receptor antagonist","D2 receptor antagonist","olanzapine¬† 5mg","w"
"2","DA",3,"Addicott",2021,"https://dx.doi.org/10.1038/s41386-020-00881-8","Y","w",22,22,0.57,0.57,"27.7","6.6","27.7","6.6","27.7","0.57","methylphenidate","40mg","increase_DA","single","1","2h","maximum 2 weeks, minimum 48h","6-Armed restless bandit task","restless bandit","other","learning rate","learning rate",2.03948815906116,NA,NA,-0.949660795328523,0.901207791641354,0.105,-1.3562680995982,1.17262148176223,0.065,NA,NA,NA,0.621123024130857,1,"reward learning sensitivity","reward learning","Addicott, 2021","w","r","yes","?","?","L","L","?","stimulant","agonist","DA reuptake inhibitor","DA and NA transporter inhibitor","DA reuptake inhibitor","methylphenidate 40mg","w"
"3","DA",3,"Addicott",2021,"https://dx.doi.org/10.1038/s41386-020-00881-8","Y_subanalysis_rsens","w",22,22,0.57,0.57,"27.7","6.6","27.7","6.6","27.7","0.57","methylphenidate","40mg","increase_DA","single","1","2h","maximum 2 weeks, minimum 48h","6-Armed 'restless' bandit task","restless bandit","bandit","decision temperature A lower value of Œ≤ typically leads to a higher percentage of explore decisions.","inverse temperature",0.811715662881054,NA,NA,0.397588301897802,1.38073469106053,0.59,0.631839186607241,1.26308516151865,0.66,NA,NA,NA,0.478671905856101,-1,"reward sensitivity","reward sensitivity","Addicott, 2021","w","r","yes","?","?","L","L","?","stimulant","agonist","DA reuptake inhibitor","DA and NA transporter inhibitor","DA reuptake inhibitor","methylphenidate 40mg","w"
"4","DA",4,"Admon",2017,"https://dx.doi.org/10.1176/appi.ajp.2016.16010111","Y","bw",20,18,0.783,0.75,"26.5","6.8","25.3","5.6","25.9","0.7665","amisulpride","50mg","increase_DA","single","1","2.5h","","Probabilistic Selection Task (Frank et al 2004)","PST","PST","punishment learning (avoiding B)","avoid B",NA,NA,NA,0.796760752688172,0.19319681305974,NA,0.689431409967059,0.207152956702551,NA,NA,NA,NA,NA,1,"punishment learning sensitivity","punishment learning sensitivity","Admon, 2017","bw","p","yes","H","H","?","?","L","antipsychotic","antagonist","D2 receptor antagonist","D2 and D3 receptor antagonist","D2 receptor antagonist","amisulpride 50mg","bw"
"5","DA",4,"Admon",2017,"https://dx.doi.org/10.1176/appi.ajp.2016.16010111","Y","bw",20,18,0.783,0.75,"26.5","6.8","25.3","5.6","25.9","0.7665","amisulpride","50mg","increase_DA","single","1","2.5h","","Probabilistic Selection Task (Frank et al 2004)","PST","PST","reward learning (choosing A)","choose A",NA,NA,NA,0.7984375,0.149517796753606,NA,0.756664426523297,0.173536359457154,NA,NA,NA,NA,NA,1,"reward learning sensitivity","reward learning sensitivity","Admon, 2017","bw","r","yes","H","H","?","?","L","antipsychotic","antagonist","D2 receptor antagonist","D2 and D3 receptor antagonist","D2 receptor antagonist","amisulpride 50mg","bw"
"6","5HT",7,"Anderson",2003,"https://doi.org/10.1177/0269881103017001687","Y","bw",15,13,NA,NA,NA,NA,NA,NA,"23","0.392857143","TD","","decrease_5HT","single","1","6h","","gambling task","gambling","","mean indifference odds against-winning","mean indifference odds against win",NA,0.007,0.935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,"risk attitude","","Anderson, 2003","bw","r","","H","H","?","L","L","depletion","antagonist","5-HT precursor depletion","5-HT precursor depletion","other","TD","bw"
"7","DA",14,"Au-Yeung",2024,"https://dx.doi.org/10.1007/s00213-024-06567-z","Y","bw",19,18,0.53,0.44,"22.68","3.76","24.5","7.13","23.59","0.485","pramipexole","1mg/day","increase_DA","multiple till treatment day12-15 (time 2)","0",NA,"bw","eye-tracking vigour task","eye-tracking vigour","","Velocity residuals performance based","Velocity residuals",NA,NA,NA,13.18189776,17.5802056,4.03317577,9.142907817,20.96582737,4.941692901,NA,NA,NA,NA,1,"reward vigour","","Au-Yeung, 2024","bw","r","","H","H","L","H","H","upregulate dopamine","agonist","D2 receptor agonist ","D2 and D3 receptor agonist ","other","pramipexole 1mg/day","bw"
"8","5HT",18,"Beierholm",2013,"https://dx.doi.org/10.1038/npp.2013.48","Y","bw",30,30,0.566666667,0.433333333,"23.6","4.2","24.23","3.18","23.915","0.5","citalopram","24mg oral","increase_5HT","single","1","220min","","vigor task (Guitart-Masip 2011)","odd-ball discrimination","","average reward rate","average reward rate on RTs",NA,NA,NA,-0.059696633,0.088117441,0.01608797,-0.037120508,0.087844237,0.01603809,NA,NA,NA,NA,-1,"reward vigour","","Beierholm, 2013","bw","r","","H","H","L","L","?","ssri","agonist","5-HT reuptake inhibitor ","5-HT transporter inhibitor ","other","citalopram 24mg oral","bw"
"9","DA",18,"Beierholm",2013,"https://dx.doi.org/10.1038/npp.2013.48","Y","bw",30,30,0.43,0.43,"24.07","4.08","24.23","3.18","24.15","0.43","L-dopa","150mg+37.5mg","increase_DA","single","1","100min","bw","vigor task (Guitart-Masip 2011)","odd-ball discrimination","","average reward rate on RTs","average reward rate on RTs",2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"reward vigour","","Beierholm, 2013","bw","r","","H","H","L","L","?","upregulate dopamine","agonist","DA precursor","DA precursor","DA precursor","L-dopa 150mg+37.5mg","bw"
"10","DA",19,"Bellebaum",2017,"https://dx.doi.org/10.1177/0269881116668591","Y","bw",16,20,0,0,"25","4.8","24.7","3.3","24.85","0","modafinil","200mg","increase_DA","single","1","2h","bw","Probabilistic Selection Task (Frank et al 2004)","PST","PST","% avoid B (avoid)","avoid B",NA,NA,NA,64.15858,17.71844,NA,72.49191,14.32039,NA,NA,NA,NA,NA,-1,"punishment learning sensitivity","punishment learning sensitivity","Bellebaum, 2017","bw","p","","L","L","L","L","L","stimulant","agonist","DA reuptake inhibitor","DA transporter inhibitor","other","modafinil 200mg","bw"
"11","DA",19,"Bellebaum",2017,"https://dx.doi.org/10.1177/0269881116668591","Y","bw",16,20,0,0,"25","4.8","24.7","3.3","24.85","0","modafinil","200mg","increase_DA","single","1","2h","bw","Probabilistic Selection Task (Frank et al 2004)","PST","PST","% choose A (approach) in transfer phase","choose A",NA,NA,NA,83.81877,11.32686,NA,79.12621,13.26861,NA,NA,NA,NA,NA,1,"reward learning sensitivity","reward learning sensitivity","Bellebaum, 2017","bw","r","","L","L","L","L","L","stimulant","agonist","DA reuptake inhibitor","DA transporter inhibitor","DA reuptake inhibitor","modafinil 200mg","bw"
"12","DA",21,"Bernacer",2013,"https://dx.doi.org/10.1176/appi.ajp.2013.12070978","Y","w",17,17,0.41,0.41,"25.3","4.9","25.3","4.9","25.3","0.41","methamphetamine","0.3mg/kg","increase_DA","single","1","1h (methamphetamin), 2h (amisulprid)","at least 1 week","probabilistic instrumental learning task (similar to Pessiglione)","PILT","PILT/other","learning rate in punishment trials (RL model)","learning rate",NA,NA,NA,0.432310594,0.358505702,NA,0.435555423,0.397371808,NA,NA,NA,NA,NA,-1,"punishment learning sensitivity","punishment learning","Bernacer, 2013","w","p","","H","H","?","?","L","stimulant","agonist","DA reuptake inhibitor","DA and NA transporter inhibitor and NA, DA, 5-HT releaser ","other","methamphetamine 0.3mg/kg","bw"
"13","DA",21,"Bernacer",2013,"https://dx.doi.org/10.1176/appi.ajp.2013.12070978","Y_subanalysis_psens","w",17,17,0.41,0.41,"25.3","4.9","25.3","4.9","25.3","0.41","methamphetamine","0.3mg/kg","increase_DA","single","1","1h (methamphetamin), 2h (amisulprid)","at least 1 week","probabilistic instrumental learning task (similar to Pessiglione)","PILT","","beta param in punishment trials (RL model)","temperature",NA,NA,NA,0.643536662,1.243315424,NA,0.813511378,1.603587231,NA,NA,NA,NA,NA,1,"punishment sensitivity","punishment sensitivity","Bernacer, 2013","w","p","","H","H","?","?","L","stimulant","agonist","DA reuptake inhibitor","DA and NA transporter inhibitor and NA, DA, 5-HT releaser ","other","methamphetamine 0.3mg/kg","bw"
"14","DA",21,"Bernacer",2013,"https://dx.doi.org/10.1176/appi.ajp.2013.12070978","Y","w",17,17,0.41,0.41,"25.3","4.9","25.3","4.9","25.3","0.41","methamphetamine","0.3mg/kg","increase_DA","single","1","1h (methamphetamin), 2h (amisulprid)","at least 1 week","probabilistic instrumental learning task (similar to Pessiglione)","PILT","PILT","learning rate in reward trials (RL model)","learning rate",2.78,NA,0.013,0.24068,0.16779,NA,0.4,0.25932,NA,NA,NA,NA,NA,-1,"reward learning sensitivity","reward learning","Bernacer, 2013","w","r","","H","H","?","?","L","stimulant","agonist","DA reuptake inhibitor","DA and NA transporter inhibitor and NA, DA, 5-HT releaser ","DA reuptake inhibitor","methamphetamine 0.3mg/kg","w"
"15","DA",21,"Bernacer",2013,"https://dx.doi.org/10.1176/appi.ajp.2013.12070978","Y_subanalysis_rsens","w",17,17,0.41,0.41,"25.3","4.9","25.3","4.9","25.3","0.41","methamphetamine","0.3mg/kg","increase_DA","single","1","1h (methamphetamin), 2h (amisulprid)","at least 1 week","probabilistic instrumental learning task (similar to Pessiglione)","PILT","","beta param in rew trials (RL model)","temperature",NA,NA,NA,0.370970291,1.189728192,NA,0.668599874,1.39551201,NA,NA,NA,NA,NA,1,"reward sensitivity","reward sensitivity","Bernacer, 2013","w","p","","H","H","?","?","L","stimulant","agonist","DA reuptake inhibitor","DA and NA transporter inhibitor and NA, DA, 5-HT releaser ","other","methamphetamine 0.3mg/kg","bw"
"16","DA",29,"Burke",2018,"https://dx.doi.org/10.1038/npp.2017.302","Y","bw",45,48,NA,NA,NA,NA,NA,NA,NA,NA,"amisulpride","400mg","decrease_DA","single","1","1.5h","","risky decision-making task","gambling","","utility curvature, sigma (I think this represents risk aversion)","utility curvature",3.82,NA,1e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,"risk attitude","","Burke, 2018","bw","r","","H","H","?","L","L","antipsychotic","antagonist","D2 receptor antagonist","D2 and D3 receptor antagonist","D2 receptor antagonist","amisulpride 400mg","bw"
"17","5HT",30,"Campbell-Meiklejohn",2011,"https://dx.doi.org/10.1038/npp.2010.170","Y","bw",17,17,0.529411765,0.529411765,"24.18","5.28","24.18","4.48","24.18","0.529411765","TD","","decrease_5HT","single","1","5h","","loss-chasing gambling game","gambling","","probability to gamble (ie 'loss chase')","p(gamble)",NA,8.43,0.006861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,"risk attitude","","Campbell-Meiklejohn, 2011","bw","r","","H","H","H","L","L","depletion","antagonist","5-HT precursor depletion","5-HT precursor depletion","other","TD","bw"
"18","DA",30,"Campbell-Meiklejohn",2011,"https://dx.doi.org/10.1038/npp.2010.170","Y","bw",15,15,0.53,0.53,"24.53","4.73","25.27","4.42","24.9","0.53","pramipexole","0.176¬µg","increase_DA","single","1","2h","","loss-chasing gambling game","gambling","","probability to gamble (mean proportions of decisions to chase)","p(gamble)",NA,NA,NA,0.50389,0.216887067,0.056,0.5677,0.197522151,0.051,NA,NA,NA,NA,-1,"risk attitude","","Campbell-Meiklejohn, 2011","bw","r","","H","H","H","L","L","upregulate dopamine","agonist","D2 receptor agonist ","D2 and D3 receptor agonist ","other","pramipexole 0.176¬µg","bw"
"19","DA",36,"Chakroun",2023,"https://dx.doi.org/10.1038/s41467-023-41130-y","Y","w",31,31,0,0,"26.85","4.01","26.85","4.01","26.85","0","L-dopa","150mg+37.5mg","increase_DA","single","1","30 min for L-dopa","1 week","Probabilistic instrumental learning task (Pessiglione et al. 2006)","PILT","PILT","accuracy","accuracy",0.753744889762031,NA,NA,0.842526306903226,0.161292998961982,NA,0.870558309548387,0.163010052503431,NA,NA,NA,NA,0.184673760131537,-1,"reward learning sensitivity","reward learning sensitivity","Chakroun, 2023","w","r","yes-online","H","H","?","L","L","upregulate dopamine","agonist","DA precursor","DA precursor","DA precursor","L-dopa 150mg+37.5mg","w"
"20","5HT",37,"Chamberlain",2006,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1867315/","Y","bw",20,20,0,1,"25.9","5.11","25.75","4.84","25.825","0.5","citalopram","30mg","increase_5HT","","1","1.5h","","Probabilistic reversal learning","reversal","reversal","perseverative errors in stage 2","perseverative errors",NA,NA,NA,4,6.54,NA,3.15,1.73,NA,NA,NA,NA,NA,1,"model-based","","Chamberlain, 2006","bw","r","","H","H","?","L","L","ssri","agonist","5-HT reuptake inhibitor ","5-HT transporter inhibitor ","other","citalopram 30mg","bw"
"21","5HT",43,"Colwell",2024,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11315928/","Y","bw",26,27,0.615384615,0.592592593,"20.19","1.36","20.15","1.29","20.17","0.603988604","fenfluramine","15mg b.i.d.","increase_5HT","multiple (7-9 days)","0","","min 8 days","Probabilistic instrumental learning task (Pessiglione et al. 2006 )","PILT","","learning rate (ùõº) win","learning rate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0287,NA,1,"reward learning sensitivity","reward learning","Colwell, 2024","bw","r","yes-online","L","H","?","L","L","5HT release","agonist","5-HT releaser and 5-HT2 receptor agonist ","5-HT releaser and 5-HT2 receptor agonist ","other","fenfluramine 15mg b.i.d.","bw"
"22","5HT",43,"Colwell",2024,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11315928/","Y","bw",26,27,0.615384615,0.592592593,"20.19","1.36","20.15","1.29","20.17","0.603988604","fenfluramine","15mg b.i.d.","increase_5HT","multiple (7-9 days)","0","","min 8 days","Probabilistic instrumental learning task (Pessiglione et al. 2006)","PILT","","learning rate (ùõº) loss","learning rate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,NA,-1,"punishment learning sensitivity","punishment learning","Colwell, 2024","bw","p","yes-online","L","H","?","L","L","5HT release","agonist","5-HT releaser and 5-HT2 receptor agonist ","5-HT releaser and 5-HT2 receptor agonist ","other","fenfluramine 15mg b.i.d.","bw"
"23","5HT",43,"Colwell",2024,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11315928/","Y_subanalysis_psens","bw",26,27,0.615384615,0.592592593,"20.19","1.36","20.15","1.29","20.17","0.603988604","fenfluramine","15mg b.i.d.","increase_5HT","multiple (7-9 days)","0","","min 8 days","Probabilistic instrumental learning task (Pessiglione et al. 2006)","PILT","","outcome sensitivity (ùúå) loss condition","outcome sensitivity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5739,NA,1,"punishment sensitivity","punishment sensitivity","Colwell, 2024","bw","p","yes-online","L","H","?","L","L","5HT release","agonist","5-HT releaser and 5-HT2 receptor agonist ","5-HT releaser and 5-HT2 receptor agonist ","other","fenfluramine 15mg b.i.d.","bw"
"24","5HT",43,"Colwell",2024,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11315928/","Y_subanalysis_rsens","bw",26,27,0.615384615,0.592592593,"20.19","1.36","20.15","1.29","20.17","0.603988604","fenfluramine","15mg b.i.d.","increase_5HT","multiple (7-9 days)","0","","min 8 days","Probabilistic instrumental learning task (Pessiglione et al. 2006 )","PILT","","outcome sensitivity (ùúå) win condition","outcome sensitivity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0626,NA,-1,"reward sensitivity","reward sensitivity","Colwell, 2024","bw","r","yes-online","L","H","?","L","L","5HT release","agonist","5-HT releaser and 5-HT2 receptor agonist ","5-HT releaser and 5-HT2 receptor agonist ","other","fenfluramine 15mg b.i.d.","bw"
"25","5HT",48,"Cools",2005,"https://doi.org/10.1038/sj.npp.1300704","Y","bw",10,12,0,0,"23.3","3.9","23.8","2.6","23.55","0","TD","","decrease_5HT","single","1","6.5h","","cued-reinforcement reaction-time task","CRRT","","Reinforcement-induced speeding RT planned contrasts 90‚Äì10%","RT 90-10",NA,NA,NA,6.413,15.1889726446524,NA,33.6470833333333,27.2029417241402,NA,NA,NA,NA,NA,-1,"reward vigour","","Cools, 2005","bw","r","yes","H","H","?","L","H","depletion","antagonist","5-HT precursor depletion","5-HT precursor depletion","other","TD","bw"
"26","5HT",47,"Cools",2008,"https://doi.org/10.1038/sj.npp.1301598","Y","w",12,12,0.666666667,0.666666667,"22.4","4","22.4","4","22.4","0.666666667","TD","","decrease_5HT","single","1","","","observational prediction reversal learning","observational reversal","reversal","mean Errors on Switch Trials for unexpected reward","switch errors",0.418763607205335,NA,NA,0.507329289450448,0.435349207747188,3.1,0.542121069406106,0.331770121622264,2.3,NA,NA,NA,0.750397537204552,-1,"model-based","","Cools, 2008","w","r","yes","H","H","?","L","?","depletion","antagonist","5-HT precursor depletion","5-HT precursor depletion","other","TD","w"
"27","5HT",47,"Cools",2008,"https://doi.org/10.1038/sj.npp.1301598","Y_incl_and_excl_for_sensanalysis","w",12,12,0.666666667,0.666666667,"22.4","4","22.4","4","22.4","0.666666667","TD","","decrease_5HT","single","1","","","observational prediction reversal learning","observational reversal","","non-reversal trials errors on punishment prediction trials","non-reversal errors",2.94012856078116,7.6,0.02,0.371425567430536,0.154401216439533,NA,0.475330176265859,0.186510271535501,NA,NA,0.759512201,NA,0.757684307237858,-1,"aversive pavlovian","","Cools, 2008","w","p","yes","H","H","?","L","?","depletion","antagonist","5-HT precursor depletion","5-HT precursor depletion","other","TD","w"
"28","5HT",47,"Cools",2008,"https://doi.org/10.1038/sj.npp.1301598","Y_incl_and_excl_for_sensanalysis","w",12,12,0.666666667,0.666666667,"22.4","4","22.4","4","22.4","0.666666667","TD","","decrease_5HT","single","1","","","observational prediction reversal learning","observational reversal","","non-reversal trials errors on reward prediction trials","non-reversal errors",0.0657377865210127,0.07,0.4,0.372385902132832,0.186554391529734,NA,0.375655777218624,0.232861436693436,NA,NA,0.932254565,NA,0.682953057528591,1,"reward learning sensitivity","reward learning sensitivity","Cools, 2008","w","r","yes","H","H","?","L","?","depletion","antagonist","5-HT precursor depletion","5-HT precursor depletion","other","TD","w"
"29","DA",51,"Cox",2015,"https://doi.org/10.1016/j.neuroimage.2014.12.070","Y","w",10,10,NA,NA,"don‚Äôt report after the exclusion","don‚Äôt report after the exclusion","don‚Äôt report after the exclusion","don‚Äôt report after the exclusion",NA,NA,"Phe / Tyr depletion","100g","decrease_DA","single","1","3.5h",NA,"Probabilistic Selection Task (Frank et al 2004)","PST","PST","negative feedback learning (test phase)","avoid B/D",2.3,NA,0.046,0.73401,0.106632003,0.03372,0.60992,0.157829278,0.04991,NA,NA,NA,NA,-1,"punishment learning sensitivity","punishment learning sensitivity","Cox, 2015","w","p","","H","H","?","L","?","depletion","antagonist","catecholamine precursor depletion","catecholamine precursor depletion","other","Phe / Tyr depletion 100g","w"
"30","DA",51,"Cox",2015,"https://doi.org/10.1016/j.neuroimage.2014.12.070","Y","w",10,10,NA,NA,"don‚Äôt report after the exclusion","don‚Äôt report after the exclusion","don‚Äôt report after the exclusion","don‚Äôt report after the exclusion",NA,NA,"Phe / Tyr depletion","100g","decrease_DA","single","1","3.5h",NA,"Probabilistic Selection Task (Frank et al 2004)","PST","PST","positive feedback learning (test phase)","choose A/C",0.23,NA,0.556,0.75019,0.181261755,0.05732,0.75019,0.155678929,0.04923,NA,NA,NA,NA,1,"reward learning sensitivity","reward learning sensitivity","Cox, 2015","w","r","","H","H","?","L","?","depletion","antagonist","catecholamine precursor depletion","catecholamine precursor depletion","other","Phe / Tyr depletion 100g","w"
"31","5HT",314,"Crean",2002,"https://pubmed.ncbi.nlm.nih.gov/12429396/","Y","w",20,20,0,0,"21.5","21.5","1.8","1.8","21.5","0","TD","","decrease_5HT","single","1","5h","min 5 days","Delay discounting task","DD","","parameter k","k parameter",NA,NA,NA,0.029,0.053665631,0.012,0.017,0.02236068,0.005,NA,NA,NA,NA,1,"reward discounting","","Crean, 2002","w","r","","H","H","L","L","L","depletion","antagonist","5-HT precursor depletion","5-HT precursor depletion","other","TD","bw"
"32","DA",54,"Cremer",2023,"https://dx.doi.org/10.1038/s41386-022-01517-9","Y","bw",23,22,0.47826087,0.454545455,NA,NA,NA,NA,NA,"0.466403162","amisulpride","400mg","decrease_DA","single","1","2h","bw","foraging task","foraging","other","learning rate Œ±","learning rate",1.99,NA,0.054,NA,NA,NA,NA,NA,NA,NA,NA,0.61,NA,1,"reward learning sensitivity","reward learning","Cremer, 2023","bw","r","","H","H","?","L","L","antipsychotic","antagonist","D2 receptor antagonist","D2 and D3 receptor antagonist","D2 receptor antagonist","amisulpride 400mg","bw"
