"","neurotransmitter","uniqueID","Author","Year","doi","Include_final","design_true","N_drug","N_placebo","female_pct_drug","female_pct_pla","age_drug_m","age_drug_sd","age_pla_m","age_pla_sd","age_total","female_total","Drug","Dose","drug_interpretation","single_or_multiple_drugAdministrations","acute","taskAdministrationTime_postIntervention","repeatedMean_sessionTimewindow","task","task_name","task_name2","measure","outcome_name","t","F","exact_p","drug_m","drug_sd","drug_sem","placebo_m","placebo_sd","placebo_sem","MeanDiff","SED","d_raw","r_correlation","d.direction.new","Category","secondary_category","AuthorY","design","valence","author_provided_data","Random.sequence.generation","Allocation.concealment","Blinding.of.participants.and.experimenters","Blinding.of.outcome.assessment","Incomplete.outcome.data","drug_category","drug_activity","simplified_drug_target","drug_target","simplified_drug_target2","drug_dose","treat_as"
"33","DA",54,"Cremer",2023,"https://dx.doi.org/10.1038/s41386-022-01517-9","Y_subanalysis_rsens","bw",23,22,0.47826087,0.454545455,NA,NA,NA,NA,NA,"0.466403162","amisulpride","400mg","decrease_DA","single","1","2h","bw","foraging task","foraging","","temperature parameter Œ≤","inverse temperature",1.6,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,0.48,NA,-1,"reward sensitivity","reward sensitivity","Cremer, 2023","bw","r","","H","H","?","L","L","antipsychotic","antagonist","D2 receptor antagonist","D2 and D3 receptor antagonist","D2 receptor antagonist","amisulpride 400mg","bw"
"34","5HT",55,"Crockett",2012,"https://doi.org/10.1038/npp.2012.75","Y","w",24,24,NA,NA,"don‚Äôt report after the exclusion","don‚Äôt report after the exclusion","don‚Äôt report after the exclusion","don‚Äôt report after the exclusion",NA,NA,"TD","","decrease_5HT","single","1","","","Reinforced Categorization Task","go/nogo RT","","punishment-induced slowing","punishment-induced slowing",2.353,NA,0.028,-0.093540946,0.452148294,0.092294384,0.164182415,0.324512296,0.066240795,NA,0.093818206,NA,NA,-1,"aversive pavlovian","","Crockett, 2012","w","p","","H","H","?","L","?","depletion","antagonist","5-HT precursor depletion","5-HT precursor depletion","other","TD","w"
"35","DA",65,"Daood",2022,"https://dx.doi.org/10.1016/j.neuropharm.2022.109190","Y","w",57,57,0.6,0.6,"26.42","3.95","26.42","3.95","26.42","0.6","methylphenidate","20mg","increase_DA","single","1","45 min","8 days","delay discounting task","DD","DD","% choosing now (out of all trials). Higher choice = more impulsive","p(choose now)",2.33572973710502,NA,0.023,41.6329665977193,18.2515573029283,NA,43.6971642033333,18.4166589607062,NA,NA,NA,NA,0.93382020097835,-1,"reward discounting","","Daood, 2022","w","r","yes","H","H","?","L","L","stimulant","agonist","DA reuptake inhibitor","DA and NA transporter inhibitor","DA reuptake inhibitor","methylphenidate 20mg","w"
"36","DA",78,"Diederen",2017,"https://dx.doi.org/10.1523/JNEUROSCI.1979-16.2016","Y","bw",19,19,0.52,0.42,"24.9","1","23.9","1.1","24.4","0.47","sulpiride","600mg","decrease_DA","single","1","2.5h","bw","reward prediction task","observational reversal","other","learning rate RL model","learning rate",1.78,NA,0.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"reward learning sensitivity","reward learning","Diederen, 2017","bw","r","","H","H","?","L","L","antipsychotic","antagonist","D2 receptor antagonist","D2 receptor antagonist","D2 receptor antagonist","sulpiride 600mg","bw"
"37","DA",82,"Eisenegger",2014,"https://dx.doi.org/10.1038/npp.2014.84","Y","bw",41,35,0,0,"don‚Äôt report after the exclusion","don‚Äôt report after the exclusion","don‚Äôt report after the exclusion","don‚Äôt report after the exclusion",NA,"0","sulpiride","800mg","decrease_DA","single","1","more than 3 h","bw","probabilistic learning task (pessiglione)","PILT","PILT/other","pun learning rate¬†Œ±","learning rate",NA,NA,0.389,0.129186788,0.109955137,0.017172107,0.153438285,0.108905235,0.018408345,NA,NA,NA,NA,1,"punishment learning sensitivity","punishment learning","Eisenegger, 2014","bw","p","","H","H","?","L","L","antipsychotic","antagonist","D2 receptor antagonist","D2 receptor antagonist","D2 receptor antagonist","sulpiride 800mg","bw"
"38","DA",82,"Eisenegger",2014,"https://dx.doi.org/10.1038/npp.2014.84","Y_subanalysis_rsens","bw",41,35,0,0,"don‚Äôt report after the exclusion","don‚Äôt report after the exclusion","don‚Äôt report after the exclusion","don‚Äôt report after the exclusion",NA,"0","sulpiride","800mg","decrease_DA","single","1","more than 3 h","bw","probabilistic learning task (pessiglione)","PILT","","rew temperature Œ≤: high beta = more random","temperature",NA,NA,0.005,0.215401455,0.127992397,0.019989054,0.139981328,0.086964202,0.014699633,NA,NA,NA,NA,1,"reward sensitivity","reward sensitivity","Eisenegger, 2014","bw","r","","H","H","?","L","L","antipsychotic","antagonist","D2 receptor antagonist","D2 receptor antagonist","D2 receptor antagonist","sulpiride 800mg","bw"
"39","DA",82,"Eisenegger",2014,"https://dx.doi.org/10.1038/npp.2014.84","Y_subanalysis_psens","bw",41,35,0,0,"don‚Äôt report after the exclusion","don‚Äôt report after the exclusion","don‚Äôt report after the exclusion","don‚Äôt report after the exclusion",NA,"0","sulpiride","800mg","decrease_DA","single","1","more than 3 h","bw","probabilistic learning task (pessiglione)","PILT","","pun temperature Œ≤: high beta = more random","temperature",NA,NA,0.368,0.299851909,1.80314881,0.281604533,0.321579422,1.79834579,0.303975919,NA,NA,NA,NA,-1,"punishment sensitivity","punishment sensitivity","Eisenegger, 2014","bw","p","","H","H","?","L","L","antipsychotic","antagonist","D2 receptor antagonist","D2 receptor antagonist","D2 receptor antagonist","sulpiride 800mg","bw"
"40","DA",82,"Eisenegger",2014,"https://dx.doi.org/10.1038/npp.2014.84","Y","bw",41,35,0,0,"don‚Äôt report after the exclusion","don‚Äôt report after the exclusion","don‚Äôt report after the exclusion","don‚Äôt report after the exclusion",NA,"0","sulpiride","800mg","decrease_DA","single","1","more than 3 h","bw","probabilistic learning task (pessiglione)","PILT","PILT","rew learning rate¬†Œ±","learning rate",NA,NA,0.819,0.059429528,0.064088962,0.010009014,0.056380787,0.06092827,0.010298757,NA,NA,NA,NA,-1,"reward learning sensitivity","reward learning","Eisenegger, 2014","bw","r","","H","H","?","L","L","antipsychotic","antagonist","D2 receptor antagonist","D2 receptor antagonist","D2 receptor antagonist","sulpiride 800mg","bw"
"41","DA",1,"Erfanian Abdoust",2024,"https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3002714","Y","w",62,62,0.516129032,0.516129032,"22.79","3.2","22.79","3.2","22.79","0.516129032","haloperidol","2mg","decrease_DA","single","1","205.59 min","","Delay discounting task","DD","DD","p(high cost option)","p(high cost option)",0.0361800189930822,NA,NA,0.715898617511521,0.17678748474949,NA,0.715514592933948,0.136542552405569,NA,NA,NA,NA,0.8888637782948,1,"reward discounting","","Erfanian Abdoust, 2024","w","r","yes-online","H","H","?","?","L","antipsychotic","antagonist","D2 receptor antagonist","D2 receptor antagonist","D2 receptor antagonist","haloperidol 2mg","w"
"42","DA",83,"Ersche",2011,"https://dx.doi.org/10.1016/j.biopsych.2011.06.033","Y","w",18,18,0.2,0.2,"32.7","6.9","32.7","6.9","32.7","0.2","amisulpride","400mg","decrease_DA","single","1","1h","at least 1 week","probabilistic reversal task (cools et al 2002)","probabilistic reversal","reversal","perseverative error rates","perseverative errors",1.03,NA,0.316,1.3895,0.422567012,0.0996,1.2772,0.274074588,0.0646,NA,NA,NA,NA,1,"model-based","","Ersche, 2011","w","r","","H","H","?","L","?","antipsychotic","antagonist","D2 receptor antagonist","D2 and D3 receptor antagonist","D2 receptor antagonist","amisulpride 400mg","w"
"43","5HT",85,"Evers",2004,"https://dx.doi.org/10.1007/s00213-004-1933-4","Y","w",15,15,0.8,0.8,"21.8","1.8","21.8","1.8","21.8","0.8","TD","","decrease_5HT","single","1","3-4h","min 3 days","Probabilistic reversal learning","probabilistic reversal","reversal","total number of preservations (number of errors directly after the rule has changed)","perseverative errors",NA,NA,NA,25.1,6.9,NA,23.1,6.7,NA,NA,NA,NA,NA,-1,"model-based","","Evers, 2004","w","r","","H","H","?","L","L","depletion","antagonist","5-HT precursor depletion","5-HT precursor depletion","other","TD","bw"
"44","5HT",88,"Faulkner",2017,"https://dx.doi.org/10.1093/ijnp/pyw075","Y","w",26,26,0.538461538,0.538461538,"29.45","12.08","29.45","12.08","29.45","0.538461538","TD","","decrease_5HT","single","1","","min 1 week","gambling task (same as Rogers et al 2003, Murphy et al 2009)","gambling","","the overall proportion of risky choices (trials when the experimental gamble was chosen)","p(gamble)",1.91723872172919,NA,NA,0.746472536185638,0.151443411047521,NA,0.799408957645588,0.134537259856726,NA,NA,NA,NA,0.520598780278242,-1,"risk attitude","","Faulkner, 2017","w","r","yes","H","H","?","L","?","depletion","antagonist","5-HT precursor depletion","5-HT precursor depletion","other","TD","w"
"45","5HT",90,"Finger",2007,"https://doi.org/10.1038/sj.npp.1301182","Y","bw",16,19,0.5625,0.473684211,"27.25","7.52","28.63","8.325496982","27.94","0.518092106","TD","","decrease_5HT","single","1","5h","-","Passive Avoidance Learning Task","PAL","","omission errors (failure to respond to a rewarded stimulus)","omission errors",NA,3.023,NA,2.23,1.2,0.3,1.52,1.220491704,0.28,NA,NA,NA,NA,-1,"reward learning sensitivity","reward learning sensitivity","Finger, 2007","bw","r","","H","H","?","L","L","depletion","antagonist","5-HT precursor depletion","5-HT precursor depletion","other","TD","bw"
"46","DA",93,"Frank",2006,"https://doi.org/10.1037/0735-7044.120.3.497","Y","w",19,20,0.54,0.54,"21","3.44","21","3.44","21","0.54","haloperidol","2mg","decrease_DA","single","1","2.5 hours","two weeks","Probabilistic Selection task (Frank et al., 2004, 2005)","PST","PST","percent accuracy for choosing A (better choice)","choose A",NA,NA,NA,0.845394736842105,0.178448683796037,4.2,0.780357142857143,0.174565018710079,3.873,NA,NA,NA,NA,-1,"reward learning sensitivity","reward learning sensitivity","Frank, 2006","w","r","yes","H","H","H","L","L","antipsychotic","antagonist","D2 receptor antagonist","D2 receptor antagonist","D2 receptor antagonist","haloperidol 2mg","bw"
"47","DA",93,"Frank",2006,"https://doi.org/10.1037/0735-7044.120.3.497","Y","w",19,20,0.54,0.54,"21","3.44","21","3.44","21","0.54","haloperidol","2mg","decrease_DA","single","1","2.5 hours","two weeks","Probabilistic Selection Task (Frank et al 2004)","PST","PST","percent accuracy for avoiding B (worse choice)","avoid B",NA,NA,NA,0.675219298245614,0.172638797735129,3.939,0.7525,0.22789078640067,5.054,NA,NA,NA,NA,1,"punishment learning sensitivity","punishment learning sensitivity","Frank, 2006","w","p","yes","H","H","H","L","L","antipsychotic","antagonist","D2 receptor antagonist","D2 receptor antagonist","D2 receptor antagonist","haloperidol 2mg","bw"
"48","5HT",99,"Geurts",2013,"https://dx.doi.org/10.1523/JNEUROSCI.2749-13.2013","Y","w",45,45,NA,NA,"23.8","2.8","23.8","2.8","23.8",NA,"TD","","decrease_5HT","single","1","7h","min 6, max 13 days","PIT","PIT","","appetative PIT: p(go) rew context (highest reward level)","appetitive PIT",0.0999365982940486,0.1,0.74,0.5321109,0.121948905625825,NA,0.534145322222222,0.120768232422129,NA,NA,NA,NA,0.366928893200912,-1,"appetitive pavlovian","","Geurts, 2013","w","r","yes","H","H","?","L","?","depletion","antagonist","5-HT precursor depletion","5-HT precursor depletion","other","TD","w"
"49","5HT",99,"Geurts",2013,"https://dx.doi.org/10.1523/JNEUROSCI.2749-13.2013","Y","w",45,45,NA,NA,"23.8","2.8","23.8","2.8","23.8",NA,"TD","","decrease_5HT","single","1","7h","min 6, max 13 days","PIT","PIT","","aversive PIT: p(go) pun context  (highest punishment level)","aversive PIT",2.33720581944752,6.8,0.013,0.556827611111111,0.115523986192404,NA,0.502211322222222,0.112068324805124,NA,NA,NA,NA,0.0514355865176074,-1,"aversive pavlovian","","Geurts, 2013","w","p","yes","H","H","?","L","?","depletion","antagonist","5-HT precursor depletion","5-HT precursor depletion","other","TD","w"
"50","5HT",101,"Gilger",2024,"https://dx.doi.org/10.1177/02698811231216325","Y","w",98,98,0.37755102,0.37755102,"32.2","6.1","32.2","6.1","32.2","0.37755102","TD","","decrease_5HT","","1","4h","min 1 week","2-step task","Two-step","","main effect reward, model free","main effect reward",NA,NA,NA,0.182871359,0.178676281,0.01804903,0.190125566,0.303191584,0.030626975,NA,NA,NA,NA,-1,"reward learning sensitivity","reward learning sensitivity","Gilger, 2024","w","r","","H","H","?","L","?","depletion","antagonist","5-HT precursor depletion","5-HT precursor depletion","other","TD","bw"
"51","5HT",101,"Gilger",2024,"https://dx.doi.org/10.1177/02698811231216325","Y","w",98,98,0.37755102,0.37755102,"32.2","6.1","32.2","6.1","32.2","0.37755102","TD","","decrease_5HT","","1","4h","min 1 week","2-step task","Two-step","2-step","omega parameter","omega parameter",NA,NA,NA,0.41,0.890954544,0.09,0.39,0.791959595,0.08,NA,NA,NA,NA,1,"model-based","","Gilger, 2024","w","r","","H","H","?","L","?","depletion","antagonist","5-HT precursor depletion","5-HT precursor depletion","other","TD","bw"
"52","DA",103,"Graf",2018,"https://dx.doi.org/10.3389/fpsyt.2018.00346","Y","w",17,17,0,0,"23.8","3.2","23.8","3.2","23.8","0","amisulpride","200mg/day","decrease_DA","multiple","0","2 hours","at least two weeks","MID with a parametric variation of probabilities (0, 25, 50, 75, and 100%)","MID","","RT in 100% reward minus 0%","RT 100-0",0.657272478139421,NA,NA,37.6652406417112,37.6124707325742,57.38,45.6453297682709,38.8392496981838,41.09,NA,NA,NA,0.142804425701246,1,"reward vigour","","Graf, 2018","w","r","yes","H","H","?","L","H","antipsychotic","antagonist","D2 receptor antagonist","D2 and D3 receptor antagonist","D2 receptor antagonist","amisulpride 200mg/day","w"
"53","DA",105,"Grimm",2021,"https://dx.doi.org/10.1007/s00213-020-05693-8","Y","w",45,45,0.51,0.51,"22.81","2.71","22.81","2.71","22.81","0.51","L-dopa","100mg+25mg","increase_DA","single","1","90 min","at least 4 days","MID","MID","","RT in high reward vs neutral","RT high-neutral reward",0.12457922300514,NA,0.86,14.1333333333333,16.8274667244846,NA,13.7777777777778,13.4060517014601,NA,NA,NA,NA,0.213514297554505,1,"reward vigour","","Grimm, 2021","w","r","yes","H","H","?","L","L","upregulate dopamine","agonist","DA precursor","DA precursor","DA precursor","L-dopa 100mg+25mg","w"
"54","DA",106,"Grob",2012,"https://dx.doi.org/10.1038/npp.2012.41","Y","w",28,28,1,1,"25.8","3.6","25.8","3.6","25.8","1","AMPT","40mg/kg","decrease_DA","single","1","Thirty hours after the first AMPT/placebo administration (day 2, 1400‚Äâh)","min 7 days","probabilistic reward task (Pizzagalli task)","PRT","other","response bias toward a more frequently rewarded stimulus block 3","response bias block 3",NA,NA,NA,0.2588,0.248700623,0.047,0.1694,0.253992126,0.048,NA,NA,NA,NA,-1,"reward learning sensitivity","reward learning sensitivity","Grob, 2012","w","r","","H","H","?","L","L","depletion","antagonist","catecholamine precursor depletion","catecholamin synthesis inhibitor ","other","AMPT 40mg/kg","bw"
"55","5HT",110,"Guitart-Masip",2014,"https://doi.org/10.1007/s00213-013-3313-4","Y","bw",27,29,NA,NA,"unclear after exclusion what it is","unclear after exclusion what it is","unclear after exclusion what it is","unclear after exclusion what it is",NA,NA,"citalopram","30mg","increase_5HT","single","1","3h","","orthogonalised go/nogo","go/nogo","","p(correct): nogo to win","nogo to win",NA,NA,NA,0.428,0.36373067,0.07,0.536,0.393117031,0.073,NA,NA,NA,NA,-1,"appetitive pavlovian","","Guitart-Masip, 2014","bw","r","","H","H","?","L","?","ssri","agonist","5-HT reuptake inhibitor ","5-HT transporter inhibitor ","other","citalopram 30mg","bw"
"56","5HT",109,"Guitart-Masip",2012,"https://dx.doi.org/10.1073/pnas.1202229109","Y","bw",16,20,0.6875,0.3,"23.6","4.67","23","2.47","23.3","0.49375","citalopram","24mg oral","increase_5HT","single","1","3h","","orthogonalised go/nogo","go/nogo","","p(correct): nogo to win","nogo to win",NA,NA,NA,0.977,0.028,0.007,0.97,0.026832816,0.006,NA,NA,NA,NA,1,"appetitive pavlovian","","Guitart-Masip, 2012","bw","r","","H","H","?","L","L","ssri","agonist","5-HT reuptake inhibitor ","5-HT transporter inhibitor ","other","citalopram 24mg oral","bw"
"57","5HT",110,"Guitart-Masip",2014,"https://doi.org/10.1007/s00213-013-3313-4","Y","bw",27,29,NA,NA,"unclear after exclusion what it is","unclear after exclusion what it is","unclear after exclusion what it is","unclear after exclusion what it is",NA,NA,"citalopram","30mg","increase_5HT","single","1","3h","","orthogonalised go/nogo","go/nogo","","p(correct): go to avoid","go to avoid",NA,NA,NA,0.843,0.072746134,0.014,0.776,0.215406592,0.04,NA,NA,NA,NA,1,"aversive pavlovian","","Guitart-Masip, 2014","bw","p","","H","H","?","L","?","ssri","agonist","5-HT reuptake inhibitor ","5-HT transporter inhibitor ","other","citalopram 30mg","bw"
"58","5HT",109,"Guitart-Masip",2012,"https://dx.doi.org/10.1073/pnas.1202229109","Y","bw",16,20,0.6875,0.3,"23.6","4.67","23","2.47","23.3","0.49375","citalopram","24mg oral","increase_5HT","single","1","3h","","orthogonalised go/nogo","go/nogo","","p(correct): go to avoid","go to avoid",NA,NA,NA,0.973,0.036,0.009,0.973,0.040249224,0.009,NA,NA,NA,NA,1,"aversive pavlovian","","Guitart-Masip, 2012","bw","p","","H","H","?","L","L","ssri","agonist","5-HT reuptake inhibitor ","5-HT transporter inhibitor ","other","citalopram 24mg oral","bw"
"59","DA",109,"Guitart-Masip",2012,"https://dx.doi.org/10.1073/pnas.1202229109","Y","bw",16,20,0.38,0.3,"23.3","5","23","2.47","23.15","0.34","L-dopa","150mg+37.5mg","increase_DA","single","1","1h","bw","orthogonalised go/nogo","go/nogo","","p(correct): nogo to win","nogo to win",NA,NA,NA,0.973,0.032,0.008,0.97,0.026832816,0.006,NA,NA,NA,NA,-1,"appetitive pavlovian","","Guitart-Masip, 2012","bw","r","","H","H","?","L","L","upregulate dopamine","agonist","DA precursor","DA precursor","DA precursor","L-dopa 150mg+37.5mg","bw"
"60","DA",110,"Guitart-Masip",2014,"https://doi.org/10.1007/s00213-013-3313-4","Y","bw",30,29,0.43,NA,"24.07","4.08","unclear after exclusion what it is","unclear after exclusion what it is",NA,NA,"L-dopa","150mg+37.5mg","increase_DA","single","1","60 min","bw","orthogonalised go/nogo","go/nogo","","p(correct): nogo to win","nogo to win",NA,NA,NA,0.648,0.345065211,0.063,0.536,0.393117031,0.073,NA,NA,NA,NA,-1,"appetitive pavlovian","","Guitart-Masip, 2014","bw","r","","H","H","?","L","?","upregulate dopamine","agonist","DA precursor","DA precursor","DA precursor","L-dopa 150mg+37.5mg","bw"
"61","DA",110,"Guitart-Masip",2014,"https://doi.org/10.1007/s00213-013-3313-4","Y","bw",30,29,0.43,NA,"24.07","4.08","unclear after exclusion what it is","unclear after exclusion what it is",NA,NA,"L-dopa","150mg+37.5mg","increase_DA","single","1","60 min","bw","orthogonalised go/nogo","go/nogo","","p(correct): go to avoid","go to avoid",NA,NA,NA,0.837,0.345065211,0.063,0.776,0.215406592,0.04,NA,NA,NA,NA,-1,"aversive pavlovian","","Guitart-Masip, 2014","bw","p","","H","H","?","L","?","upregulate dopamine","agonist","DA precursor","DA precursor","other","L-dopa 150mg+37.5mg","bw"
"62","DA",109,"Guitart-Masip",2012,"https://dx.doi.org/10.1073/pnas.1202229109","Y","bw",16,20,0.38,0.3,"23.3","5","23","2.47","23.15","0.34","L-dopa","150mg+37.5mg","increase_DA","single","1","1h","bw","orthogonalised go/nogo","go/nogo","","p(correct): go to avoid","go to avoid",NA,NA,NA,0.964,0.056,0.014,0.973,0.040249224,0.009,NA,NA,NA,NA,1,"aversive pavlovian","","Guitart-Masip, 2012","bw","p","","H","H","?","L","L","upregulate dopamine","agonist","DA precursor","DA precursor","other","L-dopa 150mg+37.5mg","bw"
"63","DA",111,"Haarsma",2021,"https://dx.doi.org/10.1038/s41380-020-0803-8","Y","bw",20,20,0.4,0.45,"24.8","4.5","23.9","4.8","24.35","0.425","sulpiride","600mg","decrease_DA","single","1","2.5h","bw","reward prediction task","observational reversal","other","overall performance","accuracy",NA,5.1,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"reward learning sensitivity","reward learning sensitivity","Haarsma, 2021","bw","r","","H","H","?","L","L","antipsychotic","antagonist","D2 receptor antagonist","D2 receptor antagonist","D2 receptor antagonist","sulpiride 600mg","bw"
"64","DA",113,"Halahakoon",2024,"https://doi.org/10.1016/j.biopsych.2023.05.023","Y","bw",21,19,0.52,0.47,"22.5","3.7","24.5","6.9","23.5","0.495","pramipexole","1mg/day","increase_DA","2 weeks daily","0","baseline and twice after 12-15 days of daily medication","bw","probabilistic learning task (pessiglione)","PILT","PILT/other","loss trial accuracy change pre-post intervention","accuracy change pre-post intervention",NA,NA,NA,-0.035642513,0.128183709,0.027971978,0.059228456,0.171714691,0.039394052,NA,NA,NA,NA,-1,"punishment learning sensitivity","punishment learning sensitivity","Halahakoon, 2024","bw","p","","H","H","H","L","L","upregulate dopamine","agonist","D2 receptor agonist ","D2 and D3 receptor agonist ","other","pramipexole 1mg/day","bw"
"65","DA",113,"Halahakoon",2024,"https://doi.org/10.1016/j.biopsych.2023.05.023","Y","bw",21,19,0.52,0.47,"22.5","3.7","24.5","6.9","23.5","0.495","pramipexole","1mg/day","increase_DA","2 weeks daily","0","baseline and twice after 12-15 days of daily medication","bw","probabilistic instrumental learning task (Pessiglione)","PILT","PILT","win trial accuracy change pre-post intervention","accuracy change pre-post intervention",NA,NA,NA,0.13,0.229128785,0.05,0.01,0.087177979,0.02,NA,NA,NA,NA,1,"reward learning sensitivity","reward learning sensitivity","Halahakoon, 2024","bw","r","","H","H","H","L","L","upregulate dopamine","agonist","D2 receptor agonist ","D2 and D3 receptor agonist ","other","pramipexole 1mg/day","bw"
"66","5HT",120,"Hebart",2015,"https://dx.doi.org/10.1007/s00213-014-3682-3","Y","bw",34,34,NA,NA,"NA (not reported by group)","NA (not reported by group)","NA (not reported by group)","NA (not reported by group)",NA,NA,"TD","","decrease_5HT","single","1","5h","-","PIT","PIT","","aversive PIT, change in vigour","aversive PIT",2.355,NA,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"aversive pavlovian","","Hebart, 2015","bw","p","","H","H","?","L","?","depletion","antagonist","5-HT precursor depletion","5-HT precursor depletion","other","TD","bw"
"67","5HT",120,"Hebart",2015,"https://dx.doi.org/10.1007/s00213-014-3682-3","Y","bw",34,34,NA,NA,"NA (not reported by group)","NA (not reported by group)","NA (not reported by group)","NA (not reported by group)",NA,NA,"TD","","decrease_5HT","single","1","5h","-","PIT","PIT","","appetative PIT, change in vigour","appetative PIT",0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"appetitive pavlovian","","Hebart, 2015","bw","r","","H","H","?","L","?","depletion","antagonist","5-HT precursor depletion","5-HT precursor depletion","other","TD","bw"
